trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1172,False,"{'a': 0.5, 'e': 0.8331594697407324}",20,0,-134.12433317415807,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
1173,False,"{'a': 0.5, 'e': 0.8328828491982335}",25,8,-102.94381910801154,"{0: 9, 1: 5, 2: 1, 3: 0, 4: 2}",1
1174,False,"{'a': 0.5, 'e': 0.8326060204350269}",25,0,-92.17241048345953,"{0: 15, 1: 3, 2: 4, 3: 3, 4: 0}",0
1175,False,"{'a': 0.5, 'e': 0.8323289835203193}",25,0,-54.265454638328556,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
1176,False,"{'a': 0.5, 'e': 0.8320517385233703}",25,3,-85.82477045373236,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 0}",1
1177,False,"{'a': 0.5, 'e': 0.8317742855134909}",25,0,-140.63660078734387,"{0: 18, 1: 0, 2: 2, 3: 3, 4: 2}",0
1178,False,"{'a': 0.5, 'e': 0.8314966245600446}",25,0,-65.71937979217736,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
1179,False,"{'a': 0.5, 'e': 0.8312187557324463}",25,0,-6.231659433586651,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
1180,False,"{'a': 0.5, 'e': 0.8309406791001636}",25,10,16.02005337016034,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
1181,False,"{'a': 0.5, 'e': 0.8306623947327152}",25,11,-85.76100963970786,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 1}",1
1182,False,"{'a': 0.5, 'e': 0.8303839026996727}",25,0,-53.61741154325647,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
1183,False,"{'a': 0.5, 'e': 0.8301052030706586}",20,11,1.2668731358273306,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
